Name,Supplier ID
Al Able Trading and Contracting,10152
Al Ahmadi Trading W.L.L,11269
Al Alee Supporting Service,11389
Al Alia Trading & Transporting Services WLL,11834
Al Allam Cleaning W.L.L,30523
Al Amaan Interior Decoration,30345
Al Amer Electrical Boards Manufacturing,11306
Al Amodi Group,10232
Al Andalus Furniture,30257
Al Andalus International for Building Materials,11313
Al Anis Trading Co. W.L.L.,30387
Al Annabi Electronics,11291
Al Arabiya Laboratories,11274
Al Asas Factories,10201
Al Athbi Trading Group WLL,11451
Al Attiya Motors and Trading Co.,17765
Al Badi Trading & Contracting Co. LTD.,30317
Al Baqali Automatic Doors,10190
Al Baraha Engineering Consultant,10253
Al Bastha Trading & Contracting WLL,30568
Al Baud Technology Co. W.L.L,11232
Al Bayan For Electronics and Led Technologies,30435
Al Bayt Furniture,11771
AL BEHERY TRADING CONTRACTING & SERVICES CO.,30991
Al Bena for Electro-Mechanical Works,11545
Al Bishri Tranding and Contracting,11354
Al Buhaara Trading and Contracting,11701
Al Dana Switchgear,30427
Al Dayaa,30101
Al Deeb Contracting & Transportation & Trading,30288
Al Dehleez Trading & Contracting,11497
Al Doha-Schindler Elevators & Escalators W.L.L,30102
Al Doha Landscape Trading & Contracting W.L.L,31052
Al Emadi Enterprises,11685
Al Emadi Packaging Products,11398
Al Emadi Stones,30143
Al Emadi Trading and Contracting Co.,30230
Al Emadi Travels,10251
Al Emtiaz Golden Contracting,30258
Al Farraj Electrical Engineering,10205
Al Futtaim Elevators and Escalators,30140
Al Ghorairi and Partners,10103
Al Gori Trading and contracting co.,30139
Al Hamad Automobiles Co. W.L.L,10236
Al Hamad Automobiles W.L.L.,11666
Al Hamadi Trading-Qatar Prefab,11222
AL HANQAH Services LLC,30462
Al Hawa Al Naqi Contracting & Services W.L.L.,30381
Al Hazem Stainless Steel,30173
AL HEMAYA INSURANCE BROKERAGE WLL,31037
Al Hussaini Aluminium,30337
Al Hussaini Enterprises W.L.L,11769
AL JABER ENGINEERING WLL,11799
Al Jaber Heavy Lift and Transport W.L.L,11333
Al Jazira For Safety Security & Cont. LLC,11848
Al Khaleej Modern Lights,11422
Al Kindi Trading Est.,10175
Al Kuwaiti Stores W.L.L.,11541
Al Lira Al Zahabiya Trading Contracting,30325
AL LIRA ALZAHABIA TRADING CONTRACTING & TRANS.,30533
Al Mahazem Trading,30384
Al Mahya Trading and Contracting,11544
Al Majaz Information Technology Consultants,11217
Al Maktab Al Qatari Hollandi W.L.L.,11733
Al Malki Trading & Contracting Co.,30382
Al Mana Maples W.L.L.,30431
Al Mana Motor Company,11424
Al Maram International Co.,10154
Al Mazrouei - ICAS W.L.L,30348
Al Mekhlafi Trading & Contracting Co. W.L.L,30327
Al Messila Resort & Spa,11587
Al Misnad,10206
Al Mojtama Store Co.,11355
Al Muftah Fiberglass Products W.L.L,11394
Al Muftah Interiors,10168
AL MUTATAWER FACTORY FOR BUILDING MATERIALS,11863
Al Nada International Factory,11311
Al Nemir Trading and Contracting,11238
Al Nodra for Trading and Decor,30207
Al Noor Advertising,30247
Al Noor Engineering Co,30103
Al Noor Plastic Factory,11805
Al Obaidly Trading & Services W.L.L.,10243
Al Obeidly & Gulf Eternit Trading Co. W.L.L.,11522
Al Qayed International Tents,30292
Al Qayed International Tents,11342
Al Qayed Travel and Tours,11331
Al Rabat Building Contracting Co.,11631
Al Rabeh Transport,30302
AL RABIAH CENTRAL CONTRACTING COMPANY,30566
Al Raeda Consultancy & Quality,11437
Al Rafa Global Trading & Contracting,11762
Al Rahi,11684
Al Rayan Elevator & Escalator,31044
Al Rayes Laundry Equipment & Accessories W.L.L .,11759
Al Rayyan Swimming Pools,30198
Al Reeha Trading & Contracting,30308
Al Sabea for Ready Mix and Blocks,11519
Al Safa Mechanical and Electrical Tools,11225
Al Safina Al Khaleejia Trading & Contracting WLL,11730
AL SAMAHA HOTEL EQUIPMENT TRADING AND HOSPITALITY,11761
Al Shabeeb Surveying W.L.L,11720
Al Shaikh Int. Trading and Contracting,30238
Al Shark Sanitary Ware Co.,10241
Al Shaya International Co. W.L.L,11366
Al Shulah Lighting,11262
Al Sultan Custom Clearance & Freight Est.,11526
Al Sultan Customs Clearance & Freight Est,11391
Al Suwaidi Technical Centre,31015
Al Tayeb Trading Establishment,30332
Al Tayeb Water Technology W.L.L,11402
AL TMOOH Trading & Contracting,31000
Al Tofei Trading,10235
Al Waab Plastics Factory,11560
Al Wajba Motors,11439
Al Waqt Al Mokhtasar,30484
Al Watan Aluminium and Glass,30216
AL WATANIA STEEL QATAR,10255
Al Wataniya Concrete W.L.L.,11585
Al Yarmouk Installing Natural&Mechanical Stones,39064
Al Zaha Trading and Contracting,31004
Al Zaman Lawyer and Legal Services,11386
Alabama Trading,11470
Alaman Design,30224
Alaska Cleaning Centre,11693
Alba Engineering Service,10170
Alba Generators,10197
Albayan WPC,30479
Alcat Heavy Equipment parts & Services,11722
Aldoha Landscape Trading and Services,31007
Alfatah International Company for Contract,30394
ALGHROUP CLEANING,30565
Alhdaf Alfdy for Trading,30444
Ali Hussain & Group,39070
Aljabor Trading,11395
Aljabor Trading,30176
Almana and Partners W.L.L,11297
Almana Computer Services,10182
AlMasaken Security Systems,30253
Almoayyed Air Conditioning,11539
Almoayyed Commercial Services,11284
Almoe AV Solutions W.L.L,11469
Almuftah Carpentry,31012
Almuftah Polymer W.L.L,10225
Almuftah Trading & Contracting Co. W.L.L.,11567
ALNAHA FOR TRADING & CONTRACTING,10240
Alphatech Services & Trading W.L.L,30989
Alrais Trading Est.,11695
Alrayyan Fire Systems,11661
Alrayyan Juniors Trading Steel,11554
Alsarf Trading & Contracting Co. W.L.L.,11621
ALTAYEB ENTERPRISES,11862
Altech Aluminium & Steel W.L.L.,30443
Altura Factory W.L.L.,11588
Aluminum Gulf Ray,30386
Alwan Marble & Granite Factory,11518
Amaco United Group,30251
Amana Steel,10111
AMAR CERAMICS TRADING W.L.L,11649
Ambali Group Tradg. & Contracting Co.,30155
Ameer Hussain & Group,39015
Amiantit Qatar Pipes Co. Ltd.,11450
Amir Hossain & Group,39078
Ankara Decorative Insulation,31040
Ansari & Group,39029
Anton Nehmeh Establishment,11474
Anvil Engineering Services & Trading,11663
Apollo Enterprises,11608
Aqfal Trading & Services Co. W.L.L,11338
Aqfal Trading & Services Co. WLL,11713
Aqtab for Trading & Contracting,30488
Aqua Proof Trading & Cotracting Co.,30318
Aqua Tanks,11516
Aquaplex Trading WLL,11542
Arab Center for Engineering Studies,10148
Arab Dewatering & Survey Services,30149
Arab Dewatering Survey and Services,30203
Arabi Company - Qatar W.L.L,11440
Arabian Engineers Consultants,11746
Arabian Gulf Melco Elevator Doha W.L.L,30236
Arabian Mix Co,10113
Arabian Specialised Materials WLL,30391
Arabian Specialised Materials WLL,11551
Arabian Trad. and Contractor of Elevators,30200
Arabian Trading Agencies Comapny W.L.L.,11781
Architectural Avenue Trading and Services W.L.L,11609
Architectural Trade & Services Co. W.L.L.,30436
Arctic Cooling Company,11664
Arcview Trading,30442
Arena Waterproofing,30110
Arif Mohammad Ullah,39136
ARJUN SARKAR,39128
ARKAZ INVESTMENT,17772
Arshad & Group,39003
Art and Built Solutions,11348
Art Avenue,30223
Art Beton Contracting & Trading,11510
Art Glass,30351
ART GROUP,31025
Artcorp Int'l.,11606
ARTEC WATER TECHNOLOGY CO. WLL,31028
Artec Water Technology for Trad. & Cont. W.L.L.,30430
ARTHAR MASIH,39129
ARUN KUMAR RAUT,39130
Aruva Distributions & Trading,11696
Aruva Distributions & Trading W.L.L.,11671
ASAS CONSTRUCTION CHEMICAL FACTORY,11852
Ashmoun Trading & Contracting,30306
Asia Electro. Mechanical Co. W.L.L.,11610
Asia Trading Engineering and Services Co.,11340
Aslak Trading & General Contracting,11237
ASMA,30179
ASTRON Certification WLL,11843
Athens Granite and Marble Co,10114
Atlantis International Contracting W.L.L,11460
AUTO CLASS CARS,11830
Automan Scrap and Garage,11580
Automax Trading,11711
Awazel International Qatar,11500
Awzan for Treading & Contracting,31021
AXLE SYSTEM WLL,31032
Aysel Trading & Contracting Co. WLL,11787
Babu Lal & Group,39080
Babu Ram and Group,39021
Bagdad Decoration,39022
Bahar Contract Lighting,11668
Bajrang Singh & Group,39112
Baljeeth & Group,39004
Barakat Engineering Co. W.L.L,11397
Bardwil Specialities Qatar,11420
Barq Group,30261
Bayan Kitchen Equipment,30232
Baynunah Laboratories,17774
BBMC Building Materials Co.,10250
BC Trading,30456
Beamed Trading WLL,11714
Becon Trading & Contracting W.L.L.,11543
BEIN SPORTS MENA W.L.L,30986
Belarte Contracting Management and Design Develop,17773
BEVERLY HILLS B TO B SOLUTIONS TECHNOLOGY,11795
Beverly Hills Plastic Factory WLL,11804
Bhakta Bahadur BK,39135
Bhalakaji Group,39092
Bin-Al-Sheikh Tradg. Est,10115
Bin Al Sheikh Rebar Factory,11430
BIN ARBAID TRANSPORTATION & EQUIPMENT WLL,11786
Bitumode Qatar Waterproofing,11782
BJM TECH TRADING,30544
Black Arrow Trading & Services W.L.L.,31002
Blanc Studio Interiors,11531
BLASLINE TRADING & CONTRACTING WLL,11776
Blue Crescent Engineering Trading & Cont. WLL,11770
Blue House,30219
Blue Ribbon,10165
Blue Skies Trading and Contracting,11387
Bluribbon Design Atelier,30248
Blutronic Trading,11426
BO Design,11388
Boecker Public Saftey LL,30535
Bojamhoor Mechanical and Electrical Company W.L.L.,30397
Bolar Trading & Contracting,30439
Bonyan Al-Fadil For Trading and Construction,30105
Boodai Trading Company W.L.L,11275
Boom Treatment Company,11218
Bosphorus International Trading and Services W.L.L,30249
Boston Security Services,11821
Braga S.p.a.,11615
Bristol Trading & Contracting,30336
Britannic Water Treatment Co.,30195
British Aluminium LLC,30378
Brymax Lighting,11597
Build Tech Trading and Building Materials Co.,30240
Buildware Trading Co.,11463
BUREAU OF ENGINEERING STUDIES,11727
Bürotime Mobilya Sanayi Ve Tic. A.?.,17782
Buzwair Advanced Technologies,30279
Cabina Enterprises,11377
CABTECH TRADING & CONTRACTING WLL,11833
Cal Power SRL,11837
Callisto Trading & Decorating W.L.L.,30437
Cambridge Trading & Services,11444
Canon Office Imaging Solutions L.L.C,11349
Cantech Your Technology Partner,31026
Capital Trading Est.,10196
Carawan W.Proofing & Projects Co.,30214
Carrier Solutions Contracting and Trading and Serv,11563
Casa Blu Company,30472
Cash,19999
Castello Cast Aluminium,30357
Casting Trading Contracting & Services,11832
Castle for Building Material Co. W.L.L,11353
CCL Qatar W.L.L,30992
Central Airconditioning Trading & Services Co.,11831
Central Airconditioning Trading & Services Co.,30445
Central Ventilation Systems Industry W.L.L.,30508
Centre Testing International Corporation,17784
Ceramic World,11236
CESCO,11706
Chabros Trading Co. WLL,11699
Chainlink Qatar,30178
Challenge Technology W.L.L,11303
CHARIOT TRADING CONT & TRANS WLL,30561
Chemcon Contruction Chemicals,11334
Chesneys,11687
Chimera Solutions Trading W.L.L,11765
CHINAR GROUP CONTRACTING & TRADING WLL,31057
Chip Qatar Solution,10180
Ciko Middle East,11464
Cisterna Trading and Contracting,30354
City Electrical Trading and Contracting W.L.L,11378
City Fitness W.L.L,11270
City Square Trading & Contracting W.L.L,31045
Classic For Alum-Steel Decoration,30111
Clepoatra Technology Co,30112
Clic Qatar Trading Company W.L.L,30290
CMC Qatar,10116
CMS Trading,11673
Comet Group Qatar,30314
Computer Mart Trading,11777
Computer Plus,11472
Concept design & Build Co. WLL,30525
Conceptive Contracting W.l.l.,11809
Concord International Import Export Co.,10249
Concord Surveying Works Co.,11278
Concorde Hotel,10162
Concrete Stone Trading and Contracting Co,30389
Concreters Restoration Buildings W.L.L.,30364
Concut Trading & Facility Management,30418
Conexion,10147
Confident Enterprises W.L.L.,11527
CONFIDENT TECHNICAL SERVICES,11849
Connections Middle East,11857
ConQueri,11672
Conserve Green Building and MEP Solutions W.L.L,11755
Consol Construction & Trading,30272
Consort Trading L.L.C,11836
Constreite Qatar for Construction Maintenance W.L.,30401
Construction Computer Software,10155
Construction Material Trading Company,11640
Contemporary Ceramics,11845
Contra International Doha W.L.L,30210
Control Electronics and Electrical Trading Co. WLL,11646
Corniche Towers Trading and Contracting,30415
Cozmo Travel,11466
Creative Display W.L.L,30322
Creative Vision Trading and Decoration,30339
Credo Trading,11350
Cretec Contracting & Trading W.L.L,30283
Cruise Marine for Ships W.L.L,11443
Crystal House,11356
Crystal Palace,11724
Crystal Stainless Steel,11569
Culligan Gulf LLC,30466
Cummins Qatar LLC,11594
Customer GRC Aluminium&Building Material Trading,30211
Cybernetics Trading & Installation,30476
D GATE TRADING & CONTRACTING,11807
D.C.S Trading and Services,10174
DAIKIN TRDG. AND AC SOLUTIONS WLL,30509
Dallas Trading Co. LLC,11346
Danube Building Materials Co.,10252
Danube Home Qatar,11819
DARA  AL WATAN INSPECTION SERVICES,11791
Darwish Elevators,30113
Data Voice Technology,30520
Debonche,30353
Deco-Tech Metal Profile Factory,11417
DECO LUSSO INTERIOR DESIGN,11811
Deco Project Trading,30293
Decoration World,30359
Deekar Heavy Equipment Rental,11630
Deemah Finishing & Trading,30453
Delta Business Systems,10150
DELUXE TRADING & SERVICES WLL,11767
Derbas Decor & General Maintenance,30159
Derbas Decor and General Maintenance,10213
Dere Trading and Construction,30278
Desert Ghazal Trad. Cont. and Hospitality  Service,31054
Desert Line Carpentry & Furniture Workshop W.L.L.,30373
Desert Line Projects,30358
Desert Star Trading,17766
Desert Sun Trading & Contracting W.L.L,30276
Design 2000 International S.r.L.,30464
Dewchem Trading & Contracting WLL,11748
Dextra Manufacturing Co. Ltd.,11445
Dhafir Switchgear,10117
Dhub,30328
Diamond Builders Trading & Contracting W.L.L,30323
Diamond Professional Trading & Contracting,11619
Digital Energy Switchgears W.L.L,30242
Dil Mohamed & Group,39071
Diwan Al Emara W.L.L.,11529
DLI Technology & Information Systems,11373
Doha Bay Aluminium,30296
Doha Cables Qatar W.L.L,11453
Doha Clean Line Design,11729
Doha Energy Trading and Contracting W.L.L,11250
Doha Gratings & Metal Works WLL,11537
Doha Insurance,10171
Doha Kwik Span For Metal Works,30183
Doha Modern Printing Press LTD.,11325
Doha Petroleum Construction Co. LTD.,11475
Doha Pools & Landscape W.L.L.,30421
Doha Pools & Landscape W.L.L.,11591
Doha Regional Plastic Solutions,11550
Doha Seagull Trading W.L.L.,11515
DOHA SPECIAL TRADING CONTRACTING & SERVICES WLL,30994
Doha Steel and Mechanical,11267
Doha Takaful,10118
Doha Technical Laboratories,11414
Doka Qatar W.L.L,11447
Domasco,11686
Domopan Qatar,30385
Don Construction Products - Qatar W.L.L,10245
Door Technology for Automatic Doors,30298
Dorman Smith Switchgear W.L.L.,11570
Dos Mohamed Group,39025
Dot Design,30447
Dream Glass Trading & Contracting W.L.L,30393
Drillone Trading and Contracting WLL,30540
DSI Middle East W.L.L.,11562
DTS SQUARE TECHNOLOGIES SYSTEM AND SERVICES,11796
Dubai Lights,11421
Dukharan Mahato & Group,39086
Dune Trading & Contracting,31013
Dutest Qatar W.L.L,11335
Dynamic Design Engineering Consulting,17786
DYNAMIC POWER WLL,30562
E-Government,11251
EBMC,10149
ECU-LINE DOHA W.L.L.,11721
Edama Facility Management WLL,30567
Eiak Group Trading and Contracting,30294
Eiffel Furniture,10177
El-Sewedy Cable,10119
El Moaz Contracting W.L.L,31017
Electra,30504
Electrical Vision Trading L.L.C.,11616
Electro City Trading,11369
Electro Trade Co. W.L.L.,11535
Elegancia Steel,30428
Elegancia Stones for Marble & Granite Trading WLL,30410
Elite Middle East,10178
Elite Sports,30398
Ellora Group WLL,11737
Emerald Qatar Trading & Contracting Services,30239
Emirates Kitchen Equipment,10191
End of S.T.A.Y. Automotive | Art Studio,17783
Eng. Adnan Saffarini Office (Architects & Engrng),11778
Engineering Factory for Carpets,30526
Engineering Factory for Carpets,30518
Engineering Supplies Company (E&I) W.L.L.,30399
Enteq Trading and Contracting,11413
EPCAR Trading & Contracting Engineering Co.,30333
Epic international,10163
Equipaint,30452
Equipment Trading & Contracting Co. WLL,39125
Equipt Supplier,30432
Erga Qatar LLC,11379
Ertibat Engineering Co. W.L.L,30255
ETA - Electro Technical Associates,30114
Etihad Steel Factory,30297
Euro Art Trading,11501
Euro Gulf Switchgears Trading W.L.L,11289
Eva Interior Fitouts,11579
Evelution Trading Services WLL,30497
Eventival Planners,11593
Everest Trading & Contracting Wll,11655
Evergreen Signage and Contracting W.L.L.,30449
Excel Air Electromechanical WLL,30451
Excel Metal Industries,30156
Excel Trading W.L.L,11425
Exodus Window Film WLL,30505
Expanded Metal Manufacturing Co. Ltd.,11263
Expert Solutions,30459
Faaf Consultants (Private) Limited,11499
Fahad Bin Abdulla Block & Interlock Factory,11320
Fahad Bin Abdulla Precast Factory,11784
Fahad Bin Abdulla Readymix,11772
Fair Trade Qatar,10120
Faisal Alshammary Contracting,11636
Fajr Al Gazyra Trading & Contracting Co. W.L.L,30326
Falcon Kitchen Equipment Company W.L.L,30280
Falcon Ready Mix Co,10121
Falkland Electricals and Trading Co. W.L.L,11258
Family Computers,11468
Family Medical,11498
FANAR NEON & ADVERTISING,30572
Fawaz Refrigeration & Air Conditioning,11400
FD Consult,11622
Felix Construction Co. W.L.L,10242
Fence Industries Trading,11511
Fender Trading and Contracting,30273
Field Industrial Supplies,10214
Fine Art Qatar,11725
Fire Safety,30524
Firestop Insulation Technologies W.L.L,31039
Firestop Middle East W.L.L.,30403
Firoj Ansari,39100
Firows Hospitality Cleaning W.L.L,11405
Firoz and Group,39096
First Dhaka Trad. Cont. Cleaning & Hospitality,11860
First Engineer For Technology Solutions,30349
First Global Trading & Contracting,11842
Fischer Fasteners QD Trading WLL,11633
Fit Worth Trading and Contracting Co. W.L.L,11281
Fitworth Trading & Contracting WLL,11692
Fix and Fit Trading & Contracting W.L.L,11476
Flora Landscape for Agricultural Services L.L.C.,30371
Floranza International Nursery W.L.L,30335
FMA TRADING AND CONTRACTING,11846
Fontana Fountains,11715
Forma Build Trading,11704
Four Color Printing Press,11530
Four Power Trading & Contracting W.L.L.,30362
Frangieh & Associates,30487
Fredrick & Group,39051
Free Line Decoration & Furniture,30441
Frijns Steel Construction Middle East,30115
Frontier Certification International L.L.C,11327
FTC Qatar,11496
Future Consultant Group,11851
Future Contracting & Plumbing,30392
Future Pipe Industries (Q.C.J.S.C),11401
Gafar Miya & Yam Raj Group,39105
Galaxy Engineering Consultancy,11371
Galaxy Stainless Steel Works Co. W.L.L,30264
Ganesh & Group,39040
Gar Waterproofing & Bitumen Factory,11409
Gas Equipment and Service Co,30116
Gather Tradind W.L.L,11215
Gazzaoui and Partners Qatar W.L.L,11336
GCC Construction Co.,30117
Gebal Group W.L.L.,11624
Genie Light,10185
German Quality UPVC for Windows & Doors,30376
GIBCA Ltd. Co. (FZC) LLC,30408
Global Electric Co,10122
Global Electrical and Mechanical Trading,30470
Global Strategic Trading & Contraction - GSTC,30161
Global Survey,11603
Global Sustainability Solutions and Services QFZ,39124
Globelink West Star Shipping W.L.L.,11719
Go Global Trading & Services,11647
GoDo Delivery,11488
Gold Leaf,10145
Golden Stone Trad & Cont Co.,11392
Golf International Company Hydroturf,11716
Goodwin Qatar W.L.L,10233
Grace Engineering & Technical Services W.L.L.,11794
Grace Qatar Trading & Contracting W.L.L.,30361
Grade One Trading and Contracting,11357
Grand Store Trading and Contracting,11471
Granite & Marble Source Trading,31011
Granity Marble & Granite W.L.L.,30379
Graphical Trading Co. W.L.L,11322
GRC Masters W.L.L.,30425
Green Hill Electrical Equipment store,10158
Green Life Contracting&Agriculture&Decoration,30237
Green Real Estate,11645
Green Waste Managment Sewerage Services L.L.C,11415
Gridari Lal & Group,39009
Group 5F for Middle East L.L.C,11817
Growth Empowerment Trading & Contracting W.L.L,17780
Guangdong Topfan International Logistics Co.,11859
Guide US TV,11479
Guilf Carpet Factory,10192
Gulf Additive Factory,11490
Gulf Ceramic,11412
Gulf Concrete Product -Hollow Core Slabe,30157
Gulf Concrete Products,10212
Gulf Construction Machinery,11800
Gulf Crown Furniture & Services WLL,11779
Gulf Flag Co. W.L.L,10146
Gulf Furniture W.L.L,30234
GULF HYGIENE,30576
Gulf Laboratories Co.,10164
Gulf Lights Electr. and Engineering,10123
Gulf Neon Advertising & Gift items,11214
Gulf Organisation for research and Development,11305
Gulf Plant Trading & Contracting,11503
Gulf Star W.L.L,30241
Gulf SwitchGears,30146
Gulf Switchgears Co,10124
Gulf Tarmeem Trading & Contracting Co.,30194
Gulf Technical Service - GTS (W.L.L),30388
Gulf Tiles Factory,11329
Gulf Top Trading & Contracting WLL,30537
GULF WATER SOLUTION TRADING,11801
Hadara Doha for General Contracting,30199
Haddadco Wrought Iron and Cast Aluminium,30217
Hafele W.L.L,11362
Halco International,30166
Halifax Trading and Contracting W.L.L,11359
Hamad Bin Khalid Engineering Services WLL,30531
Handmade Construction WLL,30514
Hany Tawfik Consulting Office,11547
Happy Life Trad. & Cont. & Cleaning W.L.L,31038
Hasenesco Block Factory,10125
Hassan Mowafi Trd. & Cont. Co.,30995
Hatif Qatar,30118
HAVACS International Trading,30498
Hazarath Ali and Group,39091
Hazrat Ali & Rabindra Garedi Group,39106
HCPS - ME W.L.L.,30409
Hempel Paints,10126
Hepworth PME (Qatar) W.L.L,11315
Heritage Furniture,10127
Heritage Furniture & Intetior,30187
Hertz Dayim Equipment Rental,11385
Hexa Tech International Trading and Contracting,30235
Hi-Tech for Metal Products,11658
Hi-Tech for Metal Products,30463
Highrise Trading and Contracting Wll,11839
Hilti Qatar W.L.L,10151
Hira W.L.L.,11601
Home Centre WLL,11690
Hormann,30250
Hosny & Mohamed Group,39083
Hot Shot,11705
Hussain Fikri Sons Tradg. Co,10128
I B A Stailess Steel,10189
IBA Agriculture,30184
IBA Aluminium,30171
IBA Aluminium,10179
IBA Interiors,10198
IBA Real Estate,10169
Ibn Firnas Trading & Contracting,17769
Ibrahim & Group,39014
ICTUS Projects,11370
ID Studio Trading W.L.L.,30429
iFurniture,11667
Il Fiore Rosso Trading & Decoration,11578
Imalco Ibrahim Mohd. Al-Khulaifi Trdg. Co.,30543
IMAR Trading & Contracting Co. WLL,30413
IMAR Trading & Contracting Co. WLL,11549
Imax Trading & Contracting W.L.L,11407
Inderjit Singh & Group,39098
Industrial Cable Management Systems Co. W.L.L.,11592
Industrial Equipment and Service Co.,11299
Infinite & Pools,30494
Influx Services and Trading,11826
Informatica Qatar,30368
Inno Tech Trading and Contracting,11343
Innovation Renewable Energy,10215
Inovec trading,11718
Insasoft,11486
Insight Designers and Engineers Cont.,11273
INTEGRAL SERVICES,11757
INTEGRAL VENDING SOLUTION WLL,11753
Intercare Hygiene,30331
International Center For Urban Development,30160
International Construction Solutions W.L.L,11253
International District Design & Contracting (IDDC),30177
International Eng. & Trade Group W.L.L.,30419
International Glass Co. W.L.L.,30363
International Gulf Trading Company WLL,30521
International Stainless Steel Co.,30119
International Towers Tradg. & Contrg.,30154
INTHRA HOTELS & RESTAURANT SUPPLIES,11758
Irfan & Group,39104
Ishfaq Heavy Equipment Machinery Co. W.L.L.,30402
Ismail Bin Ali Agriculture,31010
Ismail Bin Ali Furniture Industry WLL,30172
IT Cloud Trading and Programming WLL,11428
Italian Style Qatar W.L.L,11399
ITCC-Imperial Trading and Contracting Company,10184
Jabal Al Rahmah Trading & Contracting,30512
JABAL HIMALAYA CONSULTANCY,30575
Jabbar Mondal,39088
Jadara Trading & Contracting,30450
Jafer Ali Group,39116
Jagsir Singh & Group,39037
Jahangir & Group,39038
Jahangir Hossain & Group,39121
Jaidah Motors Trading Co. W.L.L,11219
Jalibat Al-Khair,11812
Jama Marble and Granite Co.,11235
Jamal Hossain & Group,39072
Japan Computer Technology,11287
Jasim Nema Blocks Factory,11216
JATINDER PAL,39131
Jawadco Trading & Servoces,30468
Jaypee Electricals Trading WLL,11710
JBK Controls W.L.L.,30423
Jefcon Contracting,30506
Jersey Engineering & Trading Company,30295
Jersey Manufacturing,11806
Jitendra Chaudhary,39127
Jotun Paints Qatar,11351
JSL Global,11446
Jubaili Bros. W.L.L,10224
