Name,Supplier ID,Phone,Address,Email Address,Group
Kingspan Yapi Elemanlari A.S.,11245,+90 212 236 60 32,Ciragan Cad. No:97,info.turkey@kingspan.com,10
Q-Tec Switchgear W.L.L,11246,+974 4436 2656,P.O. Box: 24477,info@qtecswitchgear.com,10
Qatar Boom Electrical Engineering,11247,,,,10
Star Delta Trading and Cont. Co. W.L.L,11248,,,,10
Adastra W.L.L,11249,+974 4000 2400,P.O. Box: 41208,finance@adastrawll.com,10
Doha Energy Trading and Contracting W.L.L,11250,,,info@dohaenergy.qa,10
E-Government,11251,+974 4040 3535,P.O. Box: 15,contracting@iba.com.qa,10
Abdullah Abdulghani and Bros.Co. W.L.L,11252,+974 4035 2171,P.O. Box: 1321,info@aabqatar.com,10
International Construction Solutions W.L.L,11253,,,,10
New Tools and Bolts Trading,11254,+974 4427 0714,P.O. Box: 20153,sajidalappy@gmail.com,10
MOHD and BROS INTL. Trading Co.,11255,+974 4431 7585,P.O. Box: 2892,-,10
Sahara Nails,11256,,,,10
Mannai Trading Co. W.L.L,11257,+974 4407 6311,P.O. Box: 76,vinodkumar.peethambaran@mannai.com.qa,10
Falkland Electricals and Trading Co. W.L.L,11258,+974 4416 6493,P.O. Box: 21280,info@falklandqatar.com,10
KPMG,11259,+974 4457 6444,P.O. Box: 4473,info@kpmg.com,10
Mokasco Express,11260,+974 4019 4949,P.O. Box: 45709,info@mokasco.com,10
Afaq Marble and Granite Co.,11261,,,ahmed_nour_18888@yahoo.com,10
Al Shulah Lighting,11262,,,,10
Expanded Metal Manufacturing Co. Ltd.,11263,+974 4460 3826,P.O. Box: 17840,qatarsales@exmetco.com,10
Khalid Corporation for sanitary Ware W.L.L,11264,,,admin@khalidsanitart.com,10
Project Polishing Co. W.L.L,11266,,,,10
Doha Steel and Mechanical,11267,,,,10
New Vision China Lighting,11268,+974 4415 1527,P.O. Box: 220201,jack@nvcqa.com,10
Al Ahmadi Trading W.L.L,11269,+974 4441 9435,P.O. Box: 11182,-,10
City Fitness W.L.L,11270,,,,10
Qatar Postal Service Co.,11272,,,ismailmg@qatarposts.com,10
Insight Designers and Engineers Cont.,11273,+974 4037 9626,P.O. Box: 91131,info@insightlighting.com,10
Al Arabiya Laboratories,11274,+974 4460 6103,P.O. Box: 38364,info@daratprojects.com,10
Boodai Trading Company W.L.L,11275,+974 4460 1304,P.O. Box: 4569,boodai@btcqtr.com,10
Saif Al Kuwari Trading and Services,11276,,,,10
New Rasafa Trading W.L.L,11277,,,newrasafaqatar02@gmail.com,10
Concord Surveying Works Co.,11278,+974 4456 8456,P.O. Box: 30,info@concordsurveying.com,10
Qatar Al Attiyah International Group,11279,,,info@snmeqatar,10
Qatar Green Leaders,11280,+974 4434 0477,P.O. Box: 11280,info@qatargreenleaders.com,10
Fit Worth Trading and Contracting Co. W.L.L,11281,+974 4416 1251,P.O. Box: 55621,sales@fitworthgroup.com,10
Nysa Trading and Contracting Co. W.L.L,11282,,,info@nysaqatar.com,10
Wiltz Trading and Contracting W.L.L,11283,,,sales@wiltzgroup.com,10
Almoayyed Commercial Services,11284,+974 4437 5951,P.O. Box: 30172,acsqatar@qatar.net.qa,10
Olive Office Trading,11285,+974 7060 4001,P.O. Box: 30020,sales@olivedoha.com,10
Management & Supplies for Elec Equipment M.S.E,11286,+974 4498 3288,P.O. Box: 80113,mseint@mseint.com,10
Japan Computer Technology,11287,,,,10
Tornado Decoration and lighting Company,11288,,,info@tornadoqatar.com,10
Euro Gulf Switchgears Trading W.L.L,11289,,,,10
Reward Furniture W.L.L,11290,,,rewardfurniture@gmail.com,10
Al Annabi Electronics,11291,,,zaiannabi@gmail.com,10
Pimtas Trading and Contracting W.L.L,11292,,,pimtastrading@gmail.com,10
Modern Home Electronic Business Unit Bosch,11293,,,,10
Waha Al Wakra Punctury for Tyres,11294,,,mohammed.hussain.trad@gmail.com,10
Mohamed Ali Abdul Rahman Trading Est.,11295,+974 4443 2270,P.O. Box: 4791,-,10
Land and Marine Oil Fields Services Co. W.L.L,11296,,,,10
Almana and Partners W.L.L,11297,+974 4433 6000,P.O. Box: 49,helpdesk@almanapartner.com,10
Ooredoo Q.S.C,11298,+974 4440 0400,P.O. Box: 217,customer.service@ooredoo.qa,10
Industrial Equipment and Service Co.,11299,+974 4442 8544,P.O. Box: 5722,info@rackplusstorage.com,10
Qatar National Plastic Factory W.L.L,11300,+974 44689977,P.O. BOX: 5615,sales@qnplast.com,10
Peri Qatar L.L.c,11301,,,,10
Ralee Computers W.L.L,11302,+974 4411 4868,P.O. Box: 13986,raleecomputers@gmail.com,10
Challenge Technology W.L.L,11303,,,info@cct-it.net,10
SunTech Trading Co. W.L.L,11304,+974 4443 4601,P.O. Box: 33115,sales@suntechqatar.com,10
Gulf Organisation for research and Development,11305,+974 4404 9010,P.O. Box: 210162,,10
Al Amer Electrical Boards Manufacturing,11306,,,inro@alamer-elec.com,10
ABC Project W.L.L,11307,+974 4460 6023,P.O. Box: 18930,info@abcgroupqatar.com,10
Polar Specialized Technical Services W.L.L,11308,,,sales@polartechnicalservices.com,10
Qatar Rotomould,11309,,,rotomould@qatar.net.qa,10
United Cooperation General Trading W.L.L,11310,,,,10
Al Nada International Factory,11311,+974 4460 6005,P.O. Box 17442,acc@alnadainternational.com,10
Servotek Group Buiding Material W.L.L,11312,+974 4460 3595,P.O. Box: 24101,info@servotekgroup.com,10
Al Andalus International for Building Materials,11313,+974 4460 0557,P.O. Box: 15112,alandalus@alandalusintl.com,10
Sultan Bin Jassim Trading and Contracting,11314,,,,10
Hepworth PME (Qatar) W.L.L,11315,+974 4405 8111,P.O. Box: 50207,info@hepworth.qa,10
Sanabl Al Khaleej Trad. and Services W.L.L,11316,,,sanablalkhaleej@gmail.com,10
Abdulla Al Emadi Trading Group,11317,+974 3369 4255,P.O. Box: 55333,gokul@aalemadi.com,10
Aamal Cement Industries W.L.L,11318,+974 4468 1950,P.O. Box: 40632,info@aamalcement.com,10
Qatari Diar Real Estate Investment Company,11319,,,,10
Fahad Bin Abdulla Block & Interlock Factory,11320,+974 4450 0993,P.O. Box: 5013,info@fbaind.com.qa,10
Mekdam Technology W.L.L,11321,+974 4405 9100,P.O. Box: 17654,info@mekdamholding.com,10
Graphical Trading Co. W.L.L,11322,,,sales@graphicaltrading.com,10
Rashid Al Mulla Sanitary&BLDS Materials Co WLL,11323,,,,10
Qatar Toronto Trading and Transport,11324,,,qatartoronto@yahoo.com,10
Doha Modern Printing Press LTD.,11325,+974 4480 3404,P.O. Box: 145,dmppgraphics@gmail.com,10
Supreme Technologies,11326,+974 4497 1300,P.O. Box: 11289,info@supremetech.me,10
Frontier Certification International L.L.C,11327,,,info@fci-qatar.com,10
Mumar Business,11328,,,,10
Gulf Tiles Factory,11329,+974 4460 0565,P.O Box: 2216,gulf.tiles@gmail.com,10
Trucks and Cranes L.L.C,11330,+974 4450 9988,P.O. Box: 40536,info@trucksncranes.com,10
Al Qayed Travel and Tours,11331,,,info@alqayedtravel.com,10
Al Jaber Heavy Lift and Transport W.L.L,11333,,,ajhl@ajhl.com.qa,10
Chemcon Contruction Chemicals,11334,+974 4450 4265,P.O. Box: 23767,sales@chemconqatar.com,10
Dutest Qatar W.L.L,11335,+974 44585479,P.O. BOX: 40523,sales@dutestqatar.com,10
Gazzaoui and Partners Qatar W.L.L,11336,+974 4450 7010,P.O. Box: 40856,gazzaoui@gazzaoui.com.qa,10
Power Max Trading and Contracting Co. W.L.L,11337,+974 4443 7586,P.O. Box: 20198,sales@powermaxqatar.com,10
Aqfal Trading & Services Co. W.L.L,11338,+974 4435 8642,P.O. Box: 80115,info@aqfalqatar.com,10
Salam Enterprises,11339,-,P.O. Box: 18419,info@salamenterprises.com,10
Asia Trading Engineering and Services Co.,11340,+974 4442 8544,P.O Box: 5722,portacabins6@asia-qatar.com,10
QAMSCO Building Materials Co. W.L.L,11341,,,info@qamsco.com,10
Al Qayed International Tents,11342,+974 4466 6650,P.O. Box: 13793,info@alqayedtents.com,10
Inno Tech Trading and Contracting,11343,,,,10
Petroleum Technology Co. W.L.L,11344,+974 4441 9603,P.O. Box: 16069,petrotec@qatar.net.qa,10
TUV SUD Middle East LLC,11345,-40051026,P.O. BOX: 24240,info.q@tuvsudme.com,10
Dallas Trading Co. LLC,11346,,,info@dallastrading.net,10
Thunderbolt For Electrical LTD.,11347,+974 4007 5747,P.O Box: 23108,sales@thunderboltltd.com,10
Art and Built Solutions,11348,,,,10
Canon Office Imaging Solutions L.L.C,11349,+974 4034 8700,P.O. Box: 23408,info@canon-qatar.qa,10
Credo Trading,11350,+974 4495 1444,P.O. Box: 207410,s.bappal@credo-intl.com,10
Jotun Paints Qatar,11351,+974 4441 2728,P.O. Box: 243737,Nadia.Hussain@jotun.com,10
Talib M. Talib Partner Company,11352,,,tmt.co@hotmail.com,10
Castle for Building Material Co. W.L.L,11353,+974 4005 3333,P.O. Box:15756,info@castle-mba.com,10
Al Bishri Tranding and Contracting,11354,+974 4432 5476,P.O. Box: 1040,albishri_doha@yahoo.com,10
Al Mojtama Store Co.,11355,,,,10
Tivoli Group L.L.c,113554,,,info@tivoli.com.qa,10
Crystal House,11356,,,info@crystalhouse.com.qa,10
Grade One Trading and Contracting,11357,,,,10
Marine Air Conditioning and Refrigerator Co.,11358,,,info@marcqatar.net,10
Halifax Trading and Contracting W.L.L,11359,,,,10
Touvay and Cauvin Trading and Services L.L.C,11360,,,info.Doha@trouvaycauvin.com,10
Liya Electricals W.L.L,11361,+974 4437 7907,P.O. Box: 31575,sales@liyaqatar.com,10
Hafele W.L.L,11362,+974 4450 2678,P.O. Box: 3321,info@hafele.com,10
Seero Engineering Consulting,11363,+974 4486 6821,P.O. Box: 201257,info@seeroeng.com,10
Profile and More Trading,11364,,,ebtisam@profile-and-more.com,10
Safetech Electro Mechanic Trading & Contracting,11365,+974 4436 9289,P.O. Box: 22524,essa@safetechdoha.com,10
Al Shaya International Co. W.L.L,11366,,,,10
Prompt Trading Engineering and Services,11367,+974 4411 5771,P.O. Box: 24067,prompt@promptqatar.com,10
Thats Living Caracole Qatar,11368,,,,10
Electro City Trading,11369,+974 4432 3534,P.O. Box: 30652,electrocitytrading@gmail.com,10
ICTUS Projects,11370,+974 4468 0983,P.O. Box:55967,info@ictusme.com,10
Galaxy Engineering Consultancy,11371,+974 4411 0664,,info@galaxygec.com,10
DLI Technology & Information Systems,11373,+974 4451 3950,P.O. Box: 39389,info@dliqatar.com,10
Access Equipment Rental and Trading Gulf L.L.C,11375,+974 4039 9522,P.O. Box: 6635,contact@accessrental-gulf.com,10
Laurus Technologies LL.C,11376,+974 4478 2465,P.O.Box 31123,sales.qa@laurustechnologies.com,10
Cabina Enterprises,11377,+974 4469 2121,P.O. Box: 8877,fbmg@fahedgroup.com,10
City Electrical Trading and Contracting W.L.L,11378,+974 4477 2993,P.O. Box: 82535,info@cetcqatar.com,10
Erga Qatar LLC,11379,+974 4444 6800,P.O. Box: 16389,nsh@ergaqatar.com,10
MOHD. Walid Al Sharabati,11380,+974 4444 6225,,,10
Rodha Khalid Co.,11381,+974 4431 0454,P.O. Box: 5767,sales@rodhakhalid.com,10
Khatib & Alami Consolidated Engineering Company,11382,+974 4465 5815,P.O. Box: 10281,doha@khatibalami.com,10
Metri Engineering Service W.L.L,11383,+974 3088 2548,P.O. Box: 19962,mes@mes.qa,10
Rental Station,11384,+974 4434 0918,,rental@rs-qatar.co,10
Hertz Dayim Equipment Rental,11385,,,,10
Al Zaman Lawyer and Legal Services,11386,+974 4431 1507,,,10
Blue Skies Trading and Contracting,11387,+974 4417 3139,,info@blueskiesqatar.com,10
BO Design,11388,+974 5596 5935,P.O. BOX: 15,DINAN.SA@HOTMAIL.COM,10
Al Alee Supporting Service,11389,,,,10
Mohammed Rahman Trading & Contracting,11390,+974 4480 5269,,mohammedrahmantrading@gmail.com,10
Al Sultan Customs Clearance & Freight Est,11391,+974 4441 3322,Po Box: 35456,alsultan72@yahoo.com,10
Golden Stone Trad & Cont Co.,11392,+974 4450 7742,P.O. Box: 31012,golden_stone10@yahoo.com,10
Smeet Precast,11393,+974 4459 2155,P.O. Box: 32535,ahassan@smeet.com.qa,10
Al Muftah Fiberglass Products W.L.L,11394,+974 4464 0278,P.O. Box: 875,fiberglass@almuftah.com,10
Aljabor Trading,11395,+974 4432 8500,P.O. Box: 295,augustian.francis@aljabortrading.com,10
Vega Trading and Contracting Company W.L.L,11396,+974 4016 5321,P.O. Box: 1322,info@vegagroups.com.qa,10
Barakat Engineering Co. W.L.L,11397,+974 4460 6376,P.O. Box: 40381,sales@barakatengg.com,10
Al Emadi Packaging Products,11398,+974 4411 4460,P.O. Box: 20929,app@alemadipp.com,10
Italian Style Qatar W.L.L,11399,+974 4466 1828,P.O. Box: 55045,info@italianstyleqatar.com,10
Fawaz Refrigeration & Air Conditioning,11400,+974 4436 0558,P.O. Box: 3086,qa.info@fawaz.com,10
Future Pipe Industries (Q.C.J.S.C),11401,+974 4476 8111,P.O. Box: 24678,sales-qatar@futurepipe.com,10
Al Tayeb Water Technology W.L.L,11402,+974 4435 7272,P.O. Box: 1401,Info@altayeb.com.qa,10
